iter	Passed	Remaining
223	2461	6328
224	2471	6316
225	2482	6304
226	2495	6300
227	2506	6288
228	2517	6277
229	2528	6266
230	2539	6254
231	2550	6243
232	2560	6230
233	2570	6218
234	2581	6206
235	2591	6193
236	2601	6180
237	2611	6166
238	2620	6152
239	2630	6138
240	2640	6123
241	2649	6110
242	2659	6097
243	2670	6084
244	2679	6070
245	2689	6056
246	2699	6044
247	2709	6030
248	2719	6017
249	2729	6004
250	2739	5991
251	2749	5978
252	2759	5966
253	2769	5952
254	2779	5940
255	2789	5927
256	2799	5915
257	2809	5901
258	2819	5888
259	2828	5874
260	2838	5861
261	2848	5848
262	2858	5835
263	2867	5822
264	2877	5809
265	2887	5797
266	2897	5783
267	2907	5771
268	2917	5758
269	2927	5745
270	2937	5733
271	2947	5721
272	2956	5708
273	2966	5695
274	2976	5682
275	2985	5668
276	2996	5657
277	3006	5644
278	3016	5632
279	3025	5619
280	3035	5607
281	3045	5594
282	3055	5582
283	3065	5569
284	3075	5556
285	3085	5545
286	3096	5535
287	3106	5522
288	3117	5512
289	3130	5506
290	3143	5497
291	3154	5487
292	3164	5476
293	3174	5464
294	3186	5454
295	3196	5442
296	3206	5431
297	3217	5419
298	3227	5408
299	3239	5398
300	3249	5387
301	3260	5375
302	3269	5363
303	3279	5350
304	3289	5338
305	3300	5327
306	3310	5315
307	3320	5303
308	3329	5291
309	3340	5279
310	3349	5267
311	3360	5255
312	3370	5244
313	3380	5232
314	3390	5220
315	3400	5208
316	3409	5195
317	3419	5183
318	3429	5171
319	3439	5159
320	3449	5146
321	3458	5134
322	3468	5121
323	3478	5109
324	3488	5098
325	3498	5086
326	3508	5074
327	3518	5063
328	3528	5051
329	3538	5039
330	3547	5026
331	3557	5014
332	3566	5002
333	3576	4990
334	3586	4978
335	3596	4966
336	3605	4954
337	3615	4942
338	3625	4930
339	3635	4918
340	3644	4906
341	3654	4893
342	3664	4881
343	3673	4869
344	3683	4857
345	3693	4845
346	3703	4834
347	3713	4823
348	3723	4812
349	3733	4800
350	3743	4788
351	3753	4776
352	3763	4765
353	3772	4753
354	3782	4741
355	3792	4729
356	3801	4717
357	3811	4706
358	3821	4694
359	3830	4682
360	3840	4670
361	3850	4658
362	3860	4647
363	3869	4634
364	3879	4623
365	3889	4611
366	3899	4600
367	3909	4589
368	3919	4577
369	3928	4566
370	3938	4554
371	3948	4542
372	3958	4531
373	3968	4519
374	3977	4508
375	3990	4499
376	4004	4492
377	4018	4486
378	4031	4478
379	4042	4467
380	4052	4456
381	4062	4445
382	4072	4434
383	4083	4423
384	4093	4412
385	4104	4401
386	4114	4390
387	4124	4379
388	4133	4367
389	4143	4356
390	4153	4345
391	4164	4333
392	4173	4322
393	4182	4310
394	4193	4299
395	4202	4287
396	4212	4275
397	4222	4264
398	4232	4253
399	4241	4241
400	4251	4230
401	4262	4219
402	4272	4208
403	4282	4197
404	4292	4186
405	4302	4175
406	4312	4163
407	4322	4152
408	4331	4141
409	4341	4129
